# UserDefaults DARWIN GOLDEN -- expectations for the guest route (#87 step 4).
# Every line is a row the HOST PORT board scored, and the answer REAL
# Foundation gave for it in the run that produced:
#   control 462/462 · corelibs 245/313 · port 627/627 · cross 26/26
# Host: macOS Version 26.5.2 (Build 25F84)
# Regenerate: full/oracle-userdefaults/build_ud_host.sh OUT && OUT/ud_runner golden
# Format: <row>\t<expected>, ONE TAB, both fields C-escaped.
# Rows are NOT sorted -- order is the order they were scored, which is
# the order the guest replays them in.
#
# WHY BOTH FIELDS ARE ESCAPED. Two rows in this corpus -- string("\t123")
# and string("123\t") -- have a LITERAL TAB in the expected value, because
# the stored string does. Written raw into a tab-separated file they make
# three fields, and a naive parser silently takes the wrong one as the
# expectation. Escaping \\, \t, \n and \r makes the format total.
#
# NOTE ON SCOPE: these are the SUITE-scoped rows. Anything whose answer
# depends on this machine's NSGlobalDomain is deliberately not here --
# see the README's "Reading these numbers safely".
roundtrip v_string [String(hello)]	String(hello)
float v_int_one [Int(1)]	1.0
bool v_int_one [Int(1)]	true
string v_int_one [Int(1)]	1
array? v_int_one	false
dict? v_int_one	false
data? v_int_one	false
stringArray v_int_one	nil
integer v_int_neg [Int(-1)]	-1
double v_int_neg [Int(-1)]	-1
float v_int_neg [Int(-1)]	-1.0
bool v_int_neg [Int(-1)]	true
string v_int_neg [Int(-1)]	-1
array? v_int_neg	false
dict? v_int_neg	false
data? v_int_neg	false
stringArray v_int_neg	nil
integer v_int_max [Int(9223372036854775807)]	9223372036854775807
double v_int_max [Int(9223372036854775807)]	9.2233720368547758e+18
float v_int_max [Int(9223372036854775807)]	9.223372e+18
bool v_int_max [Int(9223372036854775807)]	true
string v_int_max [Int(9223372036854775807)]	9223372036854775807
array? v_int_max	false
dict? v_int_max	false
data? v_int_max	false
stringArray v_int_max	nil
integer v_int_min [Int(-9223372036854775808)]	-9223372036854775808
double v_int_min [Int(-9223372036854775808)]	-9.2233720368547758e+18
float v_int_min [Int(-9223372036854775808)]	-9.223372e+18
bool v_int_min [Int(-9223372036854775808)]	true
string v_int_min [Int(-9223372036854775808)]	-9223372036854775808
array? v_int_min	false
dict? v_int_min	false
data? v_int_min	false
stringArray v_int_min	nil
integer v_int_big [Int(1099511627776)]	1099511627776
double v_int_big [Int(1099511627776)]	1099511627776
float v_int_big [Int(1099511627776)]	1.0995116e+12
bool v_int_big [Int(1099511627776)]	true
string v_int_big [Int(1099511627776)]	1099511627776
array? v_int_big	false
dict? v_int_big	false
data? v_int_big	false
stringArray v_int_big	nil
integer v_double [Double(3.5)]	3
double v_double [Double(3.5)]	3.5
float v_double [Double(3.5)]	3.5
bool v_double [Double(3.5)]	true
string v_double [Double(3.5)]	3.5
array? v_double	false
dict? v_double	false
data? v_double	false
stringArray v_double	nil
integer v_double_whole [Double(1.0)]	1
double v_double_whole [Double(1.0)]	1
float v_double_whole [Double(1.0)]	1.0
bool v_double_whole [Double(1.0)]	true
string v_double_whole [Double(1.0)]	1
array? v_double_whole	false
dict? v_double_whole	false
data? v_double_whole	false
stringArray v_double_whole	nil
integer v_double_frac [Double(0.1)]	0
double v_double_frac [Double(0.1)]	0.10000000000000001
float v_double_frac [Double(0.1)]	0.1
bool v_double_frac [Double(0.1)]	true
string v_double_frac [Double(0.1)]	0.1
array? v_double_frac	false
dict? v_double_frac	false
data? v_double_frac	false
stringArray v_double_frac	nil
integer v_double_neg [Double(-2.9)]	-2
double v_double_neg [Double(-2.9)]	-2.8999999999999999
float v_double_neg [Double(-2.9)]	-2.9
bool v_double_neg [Double(-2.9)]	true
string v_double_neg [Double(-2.9)]	-2.9
array? v_double_neg	false
dict? v_double_neg	false
data? v_double_neg	false
stringArray v_double_neg	nil
integer v_double_pi [Double(3.141592653589793)]	3
double v_double_pi [Double(3.141592653589793)]	3.1415926535897931
float v_double_pi [Double(3.141592653589793)]	3.1415927
bool v_double_pi [Double(3.141592653589793)]	true
string v_double_pi [Double(3.141592653589793)]	3.141592653589793
array? v_double_pi	false
dict? v_double_pi	false
data? v_double_pi	false
stringArray v_double_pi	nil
integer v_float [Float(1.5)]	1
double v_float [Float(1.5)]	1.5
float v_float [Float(1.5)]	1.5
bool v_float [Float(1.5)]	true
string v_float [Float(1.5)]	1.5
array? v_float	false
dict? v_float	false
data? v_float	false
stringArray v_float	nil
integer v_bool_true [Bool(true)]	1
double v_bool_true [Bool(true)]	1
float v_bool_true [Bool(true)]	1.0
bool v_bool_true [Bool(true)]	true
string v_bool_true [Bool(true)]	1
array? v_bool_true	false
dict? v_bool_true	false
data? v_bool_true	false
stringArray v_bool_true	nil
integer v_bool_false [Bool(false)]	0
double v_bool_false [Bool(false)]	0
float v_bool_false [Bool(false)]	0.0
bool v_bool_false [Bool(false)]	false
string v_bool_false [Bool(false)]	0
array? v_bool_false	false
dict? v_bool_false	false
data? v_bool_false	false
stringArray v_bool_false	nil
integer v_data [Data]	0
double v_data [Data]	0
float v_data [Data]	0.0
bool v_data [Data]	false
string v_data [Data]	nil
array? v_data	false
dict? v_data	false
data? v_data	true
stringArray v_data	nil
integer v_data_empty [Data]	0
double v_data_empty [Data]	0
float v_data_empty [Data]	0.0
bool v_data_empty [Data]	false
string v_data_empty [Data]	nil
array? v_data_empty	false
dict? v_data_empty	false
data? v_data_empty	true
stringArray v_data_empty	nil
integer v_date [Date]	0
double v_date [Date]	0
float v_date [Date]	0.0
bool v_date [Date]	false
string v_date [Date]	nil
array? v_date	false
dict? v_date	false
data? v_date	false
stringArray v_date	nil
integer v_arr_int [Array]	0
double v_arr_int [Array]	0
float v_arr_int [Array]	0.0
bool v_arr_int [Array]	false
string v_arr_int [Array]	nil
array? v_arr_int	true
dict? v_arr_int	false
data? v_arr_int	false
stringArray v_arr_int	nil
integer v_arr_str [Array]	0
double v_arr_str [Array]	0
float v_arr_str [Array]	0.0
bool v_arr_str [Array]	false
string v_arr_str [Array]	nil
array? v_arr_str	true
dict? v_arr_str	false
data? v_arr_str	false
stringArray v_arr_str	a|b
integer v_arr_mixed [Array]	0
double v_arr_mixed [Array]	0
float v_arr_mixed [Array]	0.0
bool v_arr_mixed [Array]	false
string v_arr_mixed [Array]	nil
array? v_arr_mixed	true
dict? v_arr_mixed	false
data? v_arr_mixed	false
stringArray v_arr_mixed	nil
integer v_arr_empty [Array]	0
double v_arr_empty [Array]	0
float v_arr_empty [Array]	0.0
bool v_arr_empty [Array]	false
string v_arr_empty [Array]	nil
array? v_arr_empty	true
dict? v_arr_empty	false
data? v_arr_empty	false
stringArray v_arr_empty	
integer v_dict [Dict]	0
double v_dict [Dict]	0
float v_dict [Dict]	0.0
bool v_dict [Dict]	false
string v_dict [Dict]	nil
array? v_dict	false
dict? v_dict	true
data? v_dict	false
stringArray v_dict	nil
integer v_dict_nested [Dict]	0
double v_dict_nested [Dict]	0
float v_dict_nested [Dict]	0.0
bool v_dict_nested [Dict]	false
string v_dict_nested [Dict]	nil
array? v_dict_nested	false
dict? v_dict_nested	true
data? v_dict_nested	false
stringArray v_dict_nested	nil
absent object(forKey:)	nil
absent string(forKey:)	nil
absent integer(forKey:)	0
absent double(forKey:)	0
absent float(forKey:)	0.0
absent bool(forKey:)	false
absent array(forKey:)	nil
absent data(forKey:)	nil
absent stringArray(forKey:)	nil
absent dictionary(forKey:)	nil
register: unset key reads the registered value	String(from-register)
register: a SET key beats the registered one	String(hello)
register: typed getter sees it	7
register: after set	String(set-value)
register: removeObject FALLS BACK to registered	String(from-register)
register: NOT in persistentDomain	true
set(nil) removes	nil
suite isolation: other suite's key is not in this one	nil
suite isolation: same suite, both sides see it	String(other)
