precise	question	risk	reason
c:objc(pl)MTLResourceStateCommandEncoder(im)updateTextureMapping:mode:region:mipLevel:slice:	Does updateTextureMapping on a device that reports no sparse textures produce MTLCommandBufferError.notPermitted, .invalidResource, or a successful no-op?	hardware	Linux fails closed with notPermitted because the CPU reference is not a sparse GPU. Apple's error for an unmapped sparse update is not in the graph.
c:@E@MTL4RenderEncoderOptions	Are MTL4RenderEncoderOptions.suspending and .resuming bits 0 and 1 in iPhoneOS 26.1, and is MTL4ShaderReflection.bindingInfo the same bit as MTLPipelineOption.argumentInfo?	abi	Linux uses sequential powers of two for Metal 4 option sets. The pinned graph names the cases but not integer payloads.
c:@E@MTLAccelerationStructureUsage	Does iPhoneOS 26.1 assign preferFastIntersection as bit 3 and minimizeMemory as bit 4 of MTLAccelerationStructureUsage after the documented refit/preferFastBuild/extendedLimits bits?	abi	Those later cases are in the compact surface without integer values. This overlay continues the documented power-of-two sequence.
c:objc(cs)MTLMeshRenderPipelineDescriptor	On Apple GPUs, does makeRenderPipelineState(descriptor:options:) with an MTLMeshRenderPipelineDescriptor that has nil object/mesh functions throw MTLLibraryError.compileFailure, an invalid-descriptor validation error, or succeed with an empty mesh pipeline?	gpu	Linux throws compileFailure with no shader compiler. Apple's mesh-pipeline validation for a software/missing-AIR device is not observed.
c:objc(pl)MTLDevice(im)accelerationStructureSizesWithDescriptor:	Does accelerationStructureSizes on a device with supportsRaytracing == false return all-zero MTLAccelerationStructureSizes, throw, or report a minimum scratch size?	hardware	Linux returns zeros because the CPU reference is not a ray-tracing GPU. Apple's sizes for an unsupported RT device are not in the graph.
c:@E@MTL4CommandQueueError	What are the public NSInteger codes for MTL4CommandQueueError in iPhoneOS 26.1 (none/internal/timeout/notPermitted/outOfMemory/accessRevoked/deviceRemoved), and do they match MTLCommandBufferError or a new contiguous block?	abi	Linux uses a contiguous 0-6 block recorded here until an Apple-oracle probe. The graph names the cases without integer payloads.
c:objc(pl)MTL4ComputeCommandEncoder(im)copyFromBuffer:sourceOffset:toBuffer:destinationOffset:size:	On Apple GPUs, does MTL4ComputeCommandEncoder copy/generateMipmaps run as blit on the GPU timeline, and does a later dispatch in the same encoder see the copied bytes without an explicit barrier?	gpu	Linux records CPU memcpy/box-filter mipgen and runs it on commit. Shader dispatch still fail-closes with MTL4CommandQueueError.notPermitted because there is no AIR compiler.
c:objc(pl)MTLDevice(im)newIOCommandQueueWithDescriptor:error:	Does makeIOCommandQueue succeed on iPhoneOS 26.1 without an IO command-processor entitlement, and does a load from a missing file complete with MTLIOError.urlInvalid or .internal?	hardware	Linux constructs a software IO queue whose load commands fail closed with MTLIOError.internal. File handles always throw. Apple's entitlement and URL-error mapping are not observed.
c:@E@MTL4AlphaToCoverageState	Are MTL4AlphaToCoverageState, MTL4BlendState, MTLCurveType, MTLIOStatus, and MTLTessellationPartitionMode raw values sequential from 0 as this overlay assumes?	abi	The compact surface lists cases without integer payloads. Sequential values are a Linux stand-in until observed.
s:So15MTL4CounterHeapP5MetalE07resolveB5Rangey10Foundation4DataVSgSnySiGKF	Does writeTimestamp on a timestamp MTL4CounterHeap store GPU ticks or a host clock, and is resolveCounterRange a packed 64-bit nanosecond layout?	gpu	Linux writes ProcessInfo.systemUptime nanoseconds into a CPU heap. Apple GPU counter-heap entry size and tick domain are not in the graph.
